state_cd,route_cd,discontinued,DC_year,new_route_cd,replacement_route,replacement_year,original_route_cd,Flag,DC_reason
49,0072,NO,,,NO,,,,
49,0073,NO,,,NO,,,,
49,0074,NO,,,NO,,,,
49,0075,NO,,,NO,,,,
49,0076,NO,,,NO,,,,
49,0077,NO,,,NO,,,,
49,0078,NO,,,NO,,,,
49,0079,NO,,,NO,,,,
49,0080,NO,,,NO,,,,
49,0081,NO,,,NO,,,,
49,0084,YES,1989,250,NO,,,,
49,0088,YES,1992,255,NO,,,,
49,0099,NO,,,NO,,,,
49,0103,NO,,,NO,,,,
49,0104,YES,2005,261,NO,,,,
49,0108,NO,,,NO,,,,
49,0109,YES,2018,272,NO,,,,
49,0111,YES,1992,256,NO,,,,
49,0113,NO,,,NO,,,,
49,0120,NO,,,NO,,,,
49,0121,NO,,,NO,,,,
49,0124,YES,2013,264,NO,,,,
49,0126,NO,,,NO,,,,
49,0128,NO,,,NO,,,,
49,0129,NO,,,NO,,,,
49,0131,YES,2001,259,NO,,,,no rte map
49,0133,YES,,,NO,,,This route was never run as 133 during the official SGS 1968-2017.  It might have been renamed to route # 184 prior to the start of the survey since I see old survey forms from the mid 60's with a crossed out 133 and it is replaced with a 184.  So I would,
49,0134,YES,,,NO,,,"This route was never run as 134 during the official SGS 1968-2017.  Again, I know this route number existed prior to the start of the official survey, but I can't say for sure what it might have been renamed or replaced, if at all.  Again, I would delete",
49,0136,NO,,,NO,,,,
49,0139,NO,,,NO,,,,
49,0140,NO,,,NO,,,,
49,0141,NO,,,NO,,,,
49,0142,NO,,,NO,,,,
49,0143,YES,1984,151,NO,,,,
49,0144,YES,1980,146,NO,,,,dropped due to traffic hazards
49,0145,NO,,,NO,,,,
49,0146,NO,,,YES,1980,144,,
49,0149,NO,,,NO,,,,
49,0150,NO,,,NO,,,,
49,0151,NO,,,YES,,143,,
49,0154,NO,,,NO,,,,
49,0155,NO,,,NO,,,,
49,0156,NO,,,NO,,,,
49,0157,NO,,,NO,,,,
49,0162,YES,2018,271,NO,,,,
49,0166,NO,,,NO,,,,
49,0168,YES,2016,269,NO,,,,
49,0169,NO,,,NO,,,,
49,0170,NO,,,NO,,,,
49,0173,NO,,,NO,,,,
49,0174,NO,,,NO,,,,
49,0175,YES,1980,247,NO,,,,
49,0176,NO,,,NO,,,,
